intervention_rank,district,area_type,profile,population_estimate,service_demand_index,mobility_score,resident_experience_score,total_amenities,community_need_score,amenity_adequacy_score,amenity_shortage_score,market_pressure_score,intervention_feasibility_score,community_gap_score,confidence_level,top_optimization_opportunity,shortage_education,shortage_healthcare,shortage_mobility,shortage_retail,shortage_community,shortage_services
1,Al Ghadeer,border,affordable,247087,79.58,56.333333333333336,74.66666666666667,26,54.46,24.2,75.8,57.0,56.11,62.14,medium,add_grocery_retail,100.0,90.88,94.37,0.0,69.56,100.0
2,Al Raha Beach,waterfront,high,257039,52.82,80.2,90.0,27,38.27,26.27,73.73,64.5,61.36,53.15,low,add_clinic_capacity,100.0,56.18,45.95,60.74,79.52,100.0
3,Al Bateen,waterfront,premium,378835,53.44,85.0,90.71428571428571,78,41.69,38.03,61.97,42.0,52.21,49.33,low,improve_cycle_paths,92.51,82.16,26.66,89.34,4.71,76.43
4,Yas Island,island,leisure,321425,58.83,83.5,86.16666666666667,57,43.56,41.56,58.44,44.75,46.75,48.99,medium,expand_retail_offering,82.36,64.95,30.84,74.89,46.18,51.39
5,Masdar City,mainland,innovation,479286,42.69,85.28571428571429,92.0,71,39.91,43.36,56.64,27.75,63.25,46.32,low,accelerate_transit_link,34.9,67.09,68.11,36.82,70.19,62.75
6,Saadiyat Island,island,premium,313795,45.33,85.33333333333333,92.0,68,37.15,50.02,49.98,49.25,78.51,44.31,low,expand_retail_offering,27.7,85.65,0.0,67.84,32.89,85.78
7,Al Maryah Island,island,premium,445889,47.54,88.71428571428571,90.85714285714286,95,39.4,52.32,47.68,38.25,48.64,42.7,low,improve_bus_coverage,93.65,49.47,0.0,0.0,67.95,74.98
8,Corniche,central,established,509261,56.22,85.71428571428571,90.0,133,45.92,66.24,33.76,25.75,80.38,42.38,low,add_community_events,94.44,7.1,7.25,40.55,36.49,16.73
9,Mussafah,mainland,industrial,283078,82.57,63.8,65.4,158,57.12,82.64,17.36,41.5,55.56,42.34,low,add_community_events,89.99,0.0,1.84,0.0,12.32,0.0
10,Mohammed Bin Zayed City,mainland,mid_affordable,222101,72.92,60.0,68.5,102,51.1,81.95,18.05,59.5,76.68,41.23,low,accelerate_transit_link,0.0,0.0,62.47,0.0,45.82,0.0
11,Al Reem Island,island,mid_high,287319,62.51,80.0,87.33333333333333,89,43.77,65.89,34.11,54.75,42.98,40.9,low,add_community_events,50.65,68.64,0.0,8.66,0.0,76.7
12,Khalifa City,mainland,mid,233922,72.92,65.5,79.0,94,49.0,79.53,20.47,60.75,57.07,40.01,low,accelerate_transit_link,0.0,13.34,76.24,0.0,0.0,33.22
13,Al Shamkha,mainland,affordable,85710,84.0,54.0,71.0,120,52.85,99.54,0.46,79.0,53.63,35.86,low,accelerate_transit_link,0.0,0.0,2.74,0.0,0.0,0.0
14,Zayed City,mainland,emerging,76755,76.57,67.0,71.0,158,47.82,100.0,0.0,81.0,66.54,33.68,low,expand_retail_offering,0.0,0.0,0.0,0.0,0.0,0.0
15,Danet Abu Dhabi,central,mid_high,562345,59.92,75.55555555555556,85.88888888888889,443,50.42,98.29,1.71,15.0,81.55,33.16,low,improve_bus_coverage,0.0,0.0,0.0,10.25,0.0,0.0
16,Al Reef,mainland,affordable,24101,72.0,57.0,78.0,130,46.1,100.0,0.0,83.0,72.95,33.15,low,add_community_events,0.0,0.0,0.0,0.0,0.0,0.0
17,Al Zahiyah,central,mid,308342,68.56,69.0,80.75,679,49.79,100.0,0.0,53.0,57.46,32.91,low,improve_last_mile_transit,0.0,0.0,0.0,0.0,0.0,0.0
18,Al Bahia,coastal,mid,210334,62.5,61.5,88.25,100,43.45,97.73,2.27,74.25,81.12,32.46,low,add_clinic_capacity,0.0,0.0,0.0,13.63,0.0,0.0
19,Al Maqta,mainland,mid,207187,69.65,68.0,87.0,252,43.6,100.0,0.0,74.75,75.84,31.51,low,add_community_events,0.0,0.0,0.0,0.0,0.0,0.0
20,Al Khalidiyah,central,established,487073,55.49,82.0,91.28571428571429,275,45.52,97.84,2.16,24.25,65.6,30.28,low,expand_retail_offering,0.0,0.0,0.0,12.98,0.0,0.0
